unique_id,model,ME,MAE,RMSE,MAPE
hotel_126,LGBMRegressor,0.04811900603503878,0.06624063673387837,0.09155112842132479,7.003827350058021
hotel_133,NHITS,0.0035475251476435187,0.09213771466209403,0.12362620251587876,12.181861952412934
hotel_133,AutoETS,0.0300771995937073,0.10018135834563968,0.12793112119647446,12.115928958290736
hotel_133,NBEATS,0.036084968019145985,0.10063288908373276,0.12775108984659847,12.620863572030212
hotel_133,LGBMRegressor,0.02603901765165789,0.10336499539095088,0.13256081451803114,13.164450040974925
hotel_133,SeasonalNaive,0.01779859484777517,0.10725995316159251,0.14257852817028524,13.667983913430506
hotel_133,Naive,-0.014519906323185002,0.10749414519906324,0.14357137079220536,13.583397063031102
hotel_133,AutoARIMA,0.038196034085641165,0.11203127351753565,0.14498825977269617,13.821098158689413
hotel_14,LGBMRegressor,-0.02701086933812569,0.09106807568076276,0.11904862185844971,14.571473516666881
hotel_14,AutoARIMA,-0.01107730980533779,0.10277223378965701,0.13150304767557444,16.418260811645837
hotel_14,NHITS,-0.011993928566936532,0.10532613146417545,0.13365242828141768,16.66215511671237
hotel_14,AutoETS,-0.003294282277537795,0.11228648850223127,0.14163080617295787,17.472352649321877
hotel_14,NBEATS,-0.005637621554242311,0.11638214571697694,0.14376100867122532,18.060252152738748
hotel_14,SeasonalNaive,0.001212938005390832,0.11859838274932614,0.1574652368581609,18.367868999486404
hotel_14,Naive,-0.050269541778975746,0.15026954177897575,0.1902328222848642,24.213389511551668
hotel_21,Naive,-0.017691798941798936,0.02999338624338624,0.05265958407566979,3.350900159664464
hotel_21,NHITS,-0.003857601824260898,0.03121613125321726,0.048163245471512434,3.416423616642287
hotel_21,AutoETS,-0.008787268385847662,0.031682802983023235,0.04982666446397726,3.4736799592919407
hotel_21,NBEATS,0.0009618803149177862,0.0322280871332007,0.0471079739273679,3.4986345803862395
hotel_21,AutoARIMA,0.009930523343339187,0.04086828314949596,0.05452346365679696,4.384484778548243
hotel_21,LGBMRegressor,0.02817502664101129,0.04356296690179397,0.05590784918906366,4.556385542729682
hotel_21,SeasonalNaive,0.015906084656084663,0.0462632275132275,0.07738250688078166,4.870432115496732
hotel_28,Naive,0.00880952380952381,0.00880952380952381,0.0633709161672215,100.0
hotel_28,SeasonalNaive,0.00880952380952381,0.00880952380952381,0.0633709161672215,100.0
hotel_28,AutoARIMA,0.009464647675001743,0.009568704326580928,0.06339241907750787,101.00624501592608
hotel_28,NHITS,0.0062574807999079066,0.012200269423136928,0.06310864788359348,54.45809516958327
hotel_28,NBEATS,0.007864494524851795,0.012344309509110946,0.06212745303824116,57.50341662666197
hotel_28,AutoETS,0.00248753333056039,0.017970257922602335,0.06499245297583958,71.93830838299573
hotel_28,LGBMRegressor,-0.0022320665403022205,0.02136958734950863,0.0659474854931814,87.48139822494635
hotel_35,LGBMRegressor,0.01670108092934471,0.10433068757511069,0.13063316425196234,15.385158671743046
hotel_35,NHITS,0.053690653613635474,0.12682200712817057,0.15122022250661096,17.95430904506434
hotel_35,NBEATS,0.0732294010264533,0.13287447903837477,0.1571606848267916,18.252248481629763
hotel_35,AutoETS,0.10762423083841928,0.14736497033170431,0.17756959898787888,19.894538938504443
hotel_35,Naive,0.13916015625,0.1664760044642857,0.19908610397120535,22.117279318021605
