index_x,unique_id,ds,Naive,SeasonalNaive,AutoARIMA,AutoETS,index_y,LGBMRegressor,index,NBEATS,NHITS
281,hotel_49,2023-06-04,0.7336244541484717,0.5982532751091703,0.6278196176120533,0.6469264161174458,281,0.550552052425151,281,0.6154535,0.60839087
282,hotel_49,2023-06-05,0.7336244541484717,0.4585152838427948,0.5784938650711334,0.637129228474408,282,0.6300802435614351,282,0.5899012,0.5908319
283,hotel_49,2023-06-06,0.7336244541484717,0.5327510917030568,0.5794089734473088,0.6616359970623615,283,0.667159303471466,283,0.6295502,0.61644465
284,hotel_49,2023-06-07,0.7336244541484717,0.611353711790393,0.5947297607881504,0.6611476395418645,284,0.6832361615658898,284,0.6296181,0.6390449
285,hotel_49,2023-06-08,0.7336244541484717,0.6637554585152838,0.6077898397907008,0.6762703554162109,285,0.6607029605565617,285,0.66702676,0.662671
286,hotel_49,2023-06-09,0.7336244541484717,0.7336244541484717,0.6315281769186571,0.7278446064543925,286,0.6966396486066612,286,0.7363925,0.72860867
287,hotel_49,2023-06-10,0.7336244541484717,0.6026200873362445,0.630179933178075,0.7381262854559625,287,0.71601941693502,287,0.7456727,0.7418021
288,hotel_49,2023-06-11,0.7336244541484717,0.5982532751091703,0.6194325717225259,0.6469264161174458,288,0.5693943557871407,288,0.6159972,0.60473275
289,hotel_49,2023-06-12,0.7336244541484717,0.4585152838427948,0.5869803000967315,0.637129228474408,289,0.6262106539590715,289,0.5876135,0.5892097
290,hotel_49,2023-06-13,0.7336244541484717,0.5327510917030568,0.5980798758062393,0.6616359970623615,290,0.6806155539206155,290,0.6110683,0.6294275
291,hotel_49,2023-06-14,0.7336244541484717,0.611353711790393,0.6110390273257177,0.6611476395418645,291,0.6976527088551746,291,0.6467762,0.6427815
292,hotel_49,2023-06-15,0.7336244541484717,0.6637554585152838,0.6214286701880266,0.6762703554162109,292,0.6906832348759595,292,0.68915147,0.66216755
293,hotel_49,2023-06-16,0.7336244541484717,0.7336244541484717,0.6359695919817729,0.7278446064543925,293,0.7302946123147102,293,0.71580935,0.7216742
294,hotel_49,2023-06-17,0.7336244541484717,0.6026200873362445,0.6314469294736444,0.7381262854559625,294,0.7762658582838846,294,0.7166637,0.734129
295,hotel_49,2023-06-18,0.7336244541484717,0.5982532751091703,0.6177521858400348,0.6469264161174458,295,0.5915112671790649,295,0.5826094,0.59615356
296,hotel_49,2023-06-19,0.7336244541484717,0.4585152838427948,0.6048764250472287,0.637129228474408,296,0.6577987303850444,296,0.59120303,0.5840948
297,hotel_49,2023-06-20,0.7336244541484717,0.5327510917030568,0.6068020799245026,0.6616359970623615,297,0.7056191066057267,297,0.60973054,0.6212859
298,hotel_49,2023-06-21,0.7336244541484717,0.611353711790393,0.6116745031334233,0.6611476395418645,298,0.7167529137411106,298,0.61441445,0.65447664
299,hotel_49,2023-06-22,0.7336244541484717,0.6637554585152838,0.6153039768473391,0.6762703554162109,299,0.7251590552532232,299,0.6705966,0.6753222
300,hotel_49,2023-06-23,0.7336244541484717,0.7336244541484717,0.6216602378794494,0.7278446064543925,300,0.7601924177289273,300,0.7185164,0.7303946
